prompt_id,domain,n_draft,acceptance_rate,tokens_per_sec,latency
p117,writing_prompts,32,0.17266187050359713,6.48096785477761,4.628938249999919
p118,writing_prompts,0,1.0,7.332871484644403,4.091166749999957
p118,writing_prompts,2,0.72,7.10300708807298,4.223563291999881
p118,writing_prompts,4,0.47619047619047616,8.717683065408343,3.4412813330000063
p118,writing_prompts,8,0.30985915492957744,7.406057630546124,4.050738124999953
p118,writing_prompts,16,0.19327731092436976,6.756217514733533,4.440354375000197
p118,writing_prompts,32,0.13529411764705881,3.7625999874246094,7.973210040999902
p119,writing_prompts,0,1.0,5.407112055593264,5.548248250000142
p119,writing_prompts,2,1.0,8.182656438435556,3.6662910420000117
p119,writing_prompts,4,0.9230769230769231,13.523797996382413,2.2183117499998843
p119,writing_prompts,8,0.7428571428571429,16.18825210450702,1.8531957499999407
p119,writing_prompts,16,0.6363636363636364,19.865958313519204,1.510120958000016
p119,writing_prompts,32,0.4057971014492754,8.540392883733588,3.51271895900004
p120,writing_prompts,0,1.0,6.033682125412714,4.97208825000007
p120,writing_prompts,2,0.9090909090909091,8.921352700102855,3.3627187500001128
p120,writing_prompts,4,0.7666666666666667,11.902461905141147,2.5204869579999922
p120,writing_prompts,8,0.6410256410256411,12.878851773503822,2.3294002079999245
p120,writing_prompts,16,0.5625,16.574346021596003,1.8100261669999327
p120,writing_prompts,32,0.3698630136986301,6.777420639086808,4.426462750000155
